cas	vrednost	ekstrem
05.11.2014 01:50:00	212.1	MIN
05.11.2014 08:50:00	307.4	VV2
05.11.2014 14:00:00	212.4	NV2
05.11.2014 20:30:00	311.3	MAX
06.11.2014 02:30:00	230.3	NV2
06.11.2014 09:00:00	305.3	VV2
06.11.2014 15:10:00	197.4	MIN
06.11.2014 21:20:00	309.9	MAX
07.11.2014 03:40:00	212	NV2
07.11.2014 09:40:00	301.2	MAX
07.11.2014 15:30:00	205	MIN
07.11.2014 22:00:00	300.6	VV2
08.11.2014 04:10:00	217.1	NV2
08.11.2014 09:20:00	311.4	MAX
08.11.2014 16:20:00	194.7	MIN
08.11.2014 22:10:00	274.7	VV2
09.11.2014 03:50:00	215.1	NV2
09.11.2014 09:50:00	306.2	MAX
09.11.2014 16:30:00	193.8	MIN
09.11.2014 22:40:00	269.9	VV2
10.11.2014 04:40:00	234	NV2
10.11.2014 09:50:00	299.8	MAX
10.11.2014 17:50:00	201.6	MIN
10.11.2014 23:50:00	283.1	VV2
11.11.2014 05:00:00	245.6	NV2
11.11.2014 10:20:00	290.6	MAX
11.11.2014 17:10:00	211.3	MIN
11.11.2014 23:50:00	274.1	VV2
12.11.2014 06:20:00	259.1	NV2
12.11.2014 11:40:00	294.2	MAX
12.11.2014 18:00:00	229	MIN
13.11.2014 01:40:00	275.3	VV2
13.11.2014 05:20:00	253.2	NV2
13.11.2014 11:20:00	276.6	MAX
13.11.2014 19:50:00	224.1	MIN
14.11.2014 05:10:00	265.3	MAX
14.11.2014 08:00:00	256	NV2
14.11.2014 09:30:00	258.1	VV2
14.11.2014 20:50:00	219.5	MIN
15.11.2014 04:40:00	278.4	MAX
15.11.2014 12:40:00	249	MIN
15.11.2014 17:00:00	258.8	VV2
15.11.2014 20:40:00	253.2	NV2
16.11.2014 04:20:00	304.4	MAX
16.11.2014 15:10:00	232.4	MIN
16.11.2014 20:00:00	271.1	VV2
16.11.2014 23:20:00	252.6	NV2
17.11.2014 06:20:00	284.9	VV2
17.11.2014 12:50:00	205.3	MIN
17.11.2014 19:50:00	301.9	MAX
18.11.2014 00:30:00	268.5	NV2
18.11.2014 06:20:00	312.6	MAX
18.11.2014 12:20:00	196.5	MIN
18.11.2014 20:10:00	302.2	VV2
19.11.2014 02:20:00	236.1	NV2
19.11.2014 06:10:00	275.8	VV2
19.11.2014 12:40:00	198.5	MIN
19.11.2014 19:30:00	288.6	MAX
20.11.2014 01:50:00	206.2	NV2
20.11.2014 08:10:00	274.5	MAX
20.11.2014 14:30:00	193.2	MIN
20.11.2014 20:10:00	272.8	VV2
21.11.2014 02:10:00	196	NV2
21.11.2014 08:30:00	289.7	MAX
21.11.2014 15:00:00	183.2	MIN
21.11.2014 21:00:00	259.8	VV2
22.11.2014 02:10:00	200.9	NV2
22.11.2014 09:00:00	295.9	MAX
22.11.2014 15:30:00	173.9	MIN
22.11.2014 21:30:00	256	VV2
23.11.2014 02:30:00	211.4	NV2
23.11.2014 08:50:00	288.3	MAX
23.11.2014 16:00:00	156.6	MIN
23.11.2014 23:00:00	257.8	VV2
24.11.2014 03:40:00	214.9	NV2
24.11.2014 09:50:00	279	MAX
24.11.2014 16:10:00	158.7	MIN
24.11.2014 23:10:00	266.8	VV2
25.11.2014 05:00:00	217	NV2
25.11.2014 10:00:00	276.2	MAX
25.11.2014 17:10:00	165.4	MIN
25.11.2014 23:30:00	263.6	VV2
26.11.2014 05:00:00	218.6	NV2
